Story ID,Duplicate Status,"Decision notes (if this is a duplicate, reference the story being kept)",Author,Category,Role/Users (As a....),Goal / Objective (I want...),Reason (So that...),Example,Theme,Additional Notes,Author Rating
B8,Keep,,Learning Team,Backend,Content Authors,"I want to be able to pull/view end user analytic reports unique user views for all content, content categories, modalities, or individual pieces of content within the backend of the website","So I don't have to access multiple reporting tools to gain end user analytics for content. I can use this data to make 'data informed decisions' on what content to archive, improve or promote due to frequency of use. I can allow provide this data to stakeholders when they request it.",End user content analytics reporting,Analytics & Reporting,,High
B17,Keep,,Learning Team,Backend,Content Authors ,"I want to be able to create a schedule to review content for relevance and accuracy, but not have all content be due for review at the same time","So content can be reviewed in manageable cycles by the business, so doesn't become outdated, inaccurate or not longer relevant to the technician or business needs",Automated content review cycles,Analytics & Reporting,,High
B20,Keep,,Learning Team,Backend,Content Authors ,I want to be notified when URL links are broken in a piece of content,So front end users don't encounter broken links and content authors can fix broken links immediately after they occur,Identifying broken URL links,Analytics & Reporting,,Low
B32,Keep,,Comms Team,Backend,Content Author,I would like monthly reporting on the most visited pages,Helps us ascertain what's relevant to the field,articles that get the most views and clickthroughs,Analytics & Reporting,,High
B37,Keep,,Comms Team,Backend,Governance person,"I would like to have a report of how many visits/reads/page hits have accumulated for comms we've posted. If there are links, I'd like to see the click through rates",So that we can better understand what is landing well and what doesn't perform at all. This will help drive comms strategy,"Ex. 114 leader comms, 80% read + if there are links, I'd like to see the click through rates",Analytics & Reporting,I'd like to see this kind of reporting for each are under our purview,High
B6,Eliminate,Duplicate with B4,Learning Team,Backend,Content Authors,"I want to be able easily upload, edit and publish videos while authoring content","So I can efficiently add, change and update videos using one tool and avoid using multiple multimedia tools",Video content management and authoring,Content Management & Authoring,,Low
B40,Keep,,ValueGen team,Backend,Content owner (ValueGen),I want to track which promotional offers are most frequently viewed,so that I can understand which types of offers technicians reference most during customer interactions.,,Analytics & Reporting,,Medium
B41,Keep,,ValueGen team,Backend,Content owner (ValueGen),I want to integrate a feedback mechanism where technicians can report customer objections to specific offers,so that we can improve our promotional strategies.,In co-Pilot (Morgan),Analytics & Reporting,,Low
B46,Keep,,ValueGen team,Backend,Content Authors,I want to be able to track how many people visit each Valuegen page,We can see as a team the adoption rate of the website ,,Analytics & Reporting,,Medium
B48,Keep,,ValueGen team,Backend,Content Authors,I want to be able to see the sales trend for new products that launch with reporting ,We can see the adoption rate of sales for the new products ,Maybe ask feedback during the call ,Analytics & Reporting,,
B49,Keep,,ValueGen team,Backend,Content Authors,I want to be able to see who made the last changes on the VG website ,easily track any mistakes or changes and be able to revert back the content quickly ,,Analytics & Reporting,,High
B52,Keep,,Value Center Team,Backend,Content Owner (PSB),I want to track which billing scenarios are most frequently accessed,so that I can prioritize content updates and improvements where they're needed most.,,Analytics & Reporting,,High
B54,Keep,,Value Center Team,Backend,Content Owner (PSB),I want a system-generated content audit report every quarter highlighting pages that haven't been updated in the last 3 months,so that I can maintain a regular review cycle and ensure billing rules stay current.,,Analytics & Reporting,,Medium
B55,Keep,,Value Center Team,Backend,Content Owner (PSB),I want to see a dashboard of my content's last review dates and upcoming review deadlines,so that I can proactively manage content updates and prevent outdated billing information from reaching technicians.,,Analytics & Reporting,,High
B65,Keep,,InfoTech,Backend,Site owner,be able to retrieve the modification history of web pages and the user who made the changes,If we need to when the changes were made and by whom,,Analytics & Reporting,,Low
B74,Keep,,CS&A Custom Home,Backend,Site owner (CH Center),I want the site to have the ability to keep track / show the last update date and time on each page / article and who made the change (TiD),So that we can use this information to make audit after X amount of time.,,Analytics & Reporting,,High
B75,Keep,,CS&A Custom Home,Backend,Site owner (CH Center),I want to get an email notification when a page / article has not been updated for X amount of time,So that we can make sure the content is still up to date and/or still relevant after all that time,,Analytics & Reporting,,Medium
B81,Keep,,PINE team,Backend,The PINE Team,"I would like the ability to perform analysis on specific learning material with analysis such as % of techs, readership timelines, Region, province etc",So that we can monitor performance of a prodcut in relation to learning,Reporting that shows who what where and when something was accessed.,Analytics & Reporting,Medium,Medium
B88,Keep,,Partner team,Backend,Technician,I want to be able to provide feedback on training materials and documentation or videos,So that technicians help provide continuous improvement to training resources.,,Analytics & Reporting,,High
B107,Keep,,Irene,Backend,Site administrator,To have reporting on all documents report,I can create custom reporting based on my needs,,Analytics & Reporting,Includes all available fields.,
B108,Keep,,Irene,Backend,Site administrator,To have reporting on page views by date and audience,I can create custom reporting based on my needs,,Analytics & Reporting,,
B33,Keep,,Comms Team,Backend,Content Author,I would like to be able to send push notifications to the audience group when a new story is published,Alert them to new news and have only one platform for all comms,Desktop/mobile notifications,Communication & Notifications ,,High
B58,Keep,,Value Center Team,Backend,Content Owner (PSB),Notifications of any feedback on owned content,To promptly address concerns and maintain the quality of the information,,Communication & Notifications ,,High
B60,Keep,,InfoTech,Backend,Site administrator,Have a notification when content is updated,We need to update FR content,,Communication & Notifications ,,High
B102,Keep,,Learning Team,Backend,Technician Manager,I want social or community learning features that allow my technicians to share learning content with each other or allow me to share content with them,So we can share learning resources within our team that can help each other to increase skills or improve performance,S&B meetings ,Communication & Notifications ,,Low
B4,Keep,,Learning Team,Backend,Content Authors,"I want to be able easily upload, edit and publish images while authoring content","So I can efficiently add, change and update images using one tool and avoid using multiple multimedia tools",,Content Management & Authoring,,Medium
B5,Keep,,Learning Team,Backend,Content Authors,"I want to be able to create, edit and publish content in both French and English",So French and English speaking end users can easily access and view content in their language,Multi-language content management,Content Management & Authoring,,High
B9,Keep,,Learning Team,Backend,Content Authors ,I want to access branded templates from a template library or list for each type of content I need to author,"So I can easily add content to the template without formatting font type, font size and branding colours",New content authoring,Content Management & Authoring,,High
B10,Keep,,Learning Team,Backend,Content Authors ,I need WYSIWYG rich text and image content authoring ,"So I don't have to toggle between an authoring view and end user preview while authoring content, and I can see the end user's version as I am creating or updating content",New content authoring or updating content,Content Management & Authoring,,High
B11,Keep,,Learning Team,Backend,Content Authors ,I want to be able to build interactive QA checklists,So technicians can interact with the checklist to 'check off' steps as they are completed from their mobile device,QA checklist authoring ,Content Management & Authoring,,Low
B12,Keep,,Learning Team,Backend,Content Authors ,I want to be able to view content I'm authoring using different device views (e.g. mobile vs. desktop),Ensure content is authored in a device agnostic manner and can be viewed on mobile or a laptop while technicians are on the job,On the job content access,Content Management & Authoring,,High
B19,Keep,,Learning Team,Backend,Content Authors ,Device agnostic content templates,So any content I create in a template is formatted to be viewed on a mobile device or laptop ,Mobile friendly content creation,Content Management & Authoring,,High
B27,Keep,,Learning Team,Backend,Content Authors ,I want to 'push' or link content to a 'reminders' section on the site that technicians can view to see content that is related to current business problems or KPIs,"So we can proactively promote content that can help technicians solve business problems, or avoid common errors that are trending by emphasizing content that is aligned with solving/preventing the business problem","Business has poor PSB KPI targets, so we can push all PSB content to this section for emphasis and easy access",Content Management & Authoring,,Medium
B29,Keep,,Comms Team,Backend,Content Author,I want a news ticker to be able to deliver critical updates on the front page,"Techs can access important info, without having to navigate to the news story (saves clicks)","security issues, safety information, outages, urgent stock updates, advisories",Content Management & Authoring,,High
B34,Keep,,Comms Team,Backend,Content Author,I would like to be able to edit published content easily,Eliminate duplication of effort,avoid Xyleme process where we had to publish the story per audience group,Content Management & Authoring,,High
B35,Keep,,Comms Team,Backend,Content Author,I would like an image carousel  ,highlight new products/services in a visual manner,rich media - GIFs/ images/ video,Content Management & Authoring,,Medium
B38,Keep,,ValueGen team,Backend,Content owner (ValueGen),"I want to create standardized templates for presenting offer information (pricing, terms, eligibility)",so that technicians can quickly scan and understand promotion details while in the field.,,Content Management & Authoring,,High
B43,Keep,,ValueGen team,Backend,Content Authors,I want to be able to link to other teams relevent information ,so that we provide information from the source and avoid having to update information multiple times ,,Content Management & Authoring,,High
B44,Keep,,ValueGen team,Backend,Content Authors,I want to be able to update and organize product launch information ,So technicians can be informed on new products and services ,,Content Management & Authoring,,High
B45,Keep,,ValueGen team,Backend,Content Authors,To have an assortment of page layouts that I can select from to display my content that aligns with with site requirements,Its fast and easy to author content,,Content Management & Authoring,,High
B51,Keep,,Value Center Team,Backend,Content Owner (PSB),I want to create a standardized template for billing rules,so that information is presented consistently across all scenarios and job types.,,Content Management & Authoring,,Medium
B42,Eliminate,Duplicate with B34,ValueGen team,Backend,Content Authors,I want to be able to make updates to the site quickly and easily ,so i am providing relevent information for technicians ,,Content Management & Authoring,,High
B59,Keep,,Value Center Team,Backend,Content Owner (PSB),The ability to present a quiz on the home page,To verify technicians' understanding of important updates or critical information,,Content Management & Authoring,,Low
B64,Keep,,InfoTech,Backend,Site owner,"Flexibility to add content (images, pdf, documents, video, Google Sheet, Google Slide)",We don't want to download a picture to a file and load it to the wenpage. We want to have the flexibility to copy/paste an image for example,,Content Management & Authoring,,Medium
B66,Keep,,InfoTech,Backend,Site owner,be able to copy/paste the same formatting from a source document ,We don't want to reformat the content that we copy/paste to save time,,Content Management & Authoring,,Medium
B67,Keep,,CS&A Custom Home,Backend,Content Authors,To have an assortment of page layouts that I can select from to display my content that aligns with with site requirements,Its fast and easy to author content,,Content Management & Authoring,,Medium
B72,Keep,,CS&A Custom Home,Backend,Site owner (CH Center),I want to be able to use rich-text box that retains/keep formatting intact when using copy paste from a google Doc,"So that virtually no reformating is necessary  when copy pasting fron a google doc to the page, limiting rework",,Content Management & Authoring,,High
B85,Keep,,Partner team,Backend,Content owner,"I want to create custom troubleshooting guides with videos, and images and organize them by common problems and field deficiencies identified in the field",so that technicians can quickly reference common promoblem solutions while at customer premises.,"If a common issue is identified and additional resources, videos, best practices and tips can be added and organized based on these common issues to help techs find content easily.",Content Management & Authoring,,High
B90,Keep,,Learning Team,Backend,Content Authors,Update new hire onboarding checklist forms,Updates can be visible for the forms,New hire onboarding process changes,Content Management & Authoring,,
