Story ID,Duplicate Status,"Decision notes (if this is a duplicate, reference the story being kept)",Author,Category,Role/Users (As a....),Goal / Objective (I want...),Reason (So that...),Theme,"Technician MoSCoW Rating
",Field Manager  MoSCoW Rating,Priority by Author,Example,Additional Notes
F18,Keep,,Go Team,Front-end,A site user,I want to see a mini-table of contents that stays visible while scrolling through long articles,so that I can quickly jump to relevant sections,Content Management & Display,Could Have,,High,,
F21,Eliminate,,Go Team,Front-end,As a field technician,I want all downloaded documents to automatically include a prominent watermark or header showing both the document's last updated date and the download date,so that I can easily verify I'm working with current information and track when I downloaded the document,Content Management & Display,Could Have,,High,,
F22,Keep,Duplicate F89,Go Team,Front-end,As a field technician,I want to see the last updated date on all documentation,so that I can ensure I'm following the most current procedures.,Content Management & Display,Should Have,,High,,
F23,Eliminate,,Go Team,Front-end,A site user,I want to see visual indicators for new or updated content within sub-pages,so that I can easily identify recent changes to procedures or policies.,Content Management & Display,Should Have,,High,"new content to be marked with a ""NEW"" flag for 30 days 
recently modified content to be marked with an ""UPDATED"" flag showing the revision date",I want these content flags to be visually distinct (using color coding or icons) so that I can instantly distinguish between new and updated content while scanning through pages.
F39,Keep,"Duplicated with F23, F54, F89, F132, F161, F21 and F40",Learning Team,Front-end,Field Technician,I want to easily identify new or updated content when I access the website,"So I can quickly identify if something is new or has changed and I need to refresh myself on the lastest on-the-job support processes, or quickly find content that might have been referenced in an S&B meeting or communication.",Content Management & Display,Should Have,,Medium,"New or changes to products, services, processes, policies or procedures ",
F40,Eliminate,,Learning Team,Front-end,Technician Manager,I want to easily identify new or updated content when I access the website,"So I can remind my technicians in S&B meetings, in coaching session or on the road of where to access on-the-job-support learning content related to business changes.",Content Management & Display,Should Have,Should Have,Medium,"New or changes to products, services, processes, policies or procedures ",
F41,Keep,,Learning Team,Front-end,Field Technician,I want the flexibility to see more or less detail in on-the-job-support learning content,"If this is the first time I'm completing a job task I might need full details with step, sub-steps, images, videos and FAQs to help me complete the end-to-end job task. If I have completed the job task in the past, but I haven't done it in a while then I want to view the content with less detail like high level steps, or quickly access one step I need to refresh myself on. ",Content Management & Display,Could Have,,High,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F51,Keep,,Learning Team,Front-end,Technician Manager,I want to identify the most frequently used on-the-job support learning content,So I can easily identify resources used by technicians to assist me with coaching or onboarding new technicians ,Content Management & Display,Could Have,Could Have,Medium,Coaching and onboarding technicians,
F54,Eliminate,,Comms Team,Front-end,Field technician,I want to see the latest updates so that I can go about my daily work,"I can perform my work, and be kept up-to-date for any changes",Content Management & Display,Could Have,,High,"Workaround processes, low stock, updated HBR",
F58,Keep,Duplicated with F59 and F65,ValueGen team,Front-end,Content owner (ValueGen),I want to display critical alerts and time-sensitive promotions in a prominent banner at the top of the homepage,so that technicians see urgent information immediately when they access the site,Content Management & Display,Must Have,,High,,
F59,Eliminate,,ValueGen team,Front-end,Content owner (ValueGen),I want to display a calendar of promotional  changes and expirations on the homepage (Historical and upcoming)  ,"so that technicians can catch up on offer changes, and can prepare for upcoming offers and transitions",Content Management & Display,Must Have,,High,,
F65,Eliminate,,ValueGen team,Front-end,A site user,I want to display top offers with minimal clicks ,so technicians can easily search for top promotions when selling to customers ,Content Management & Display,Must Have,,High,,
F67,Keep,,ValueGen team,Front-end,A site user,I want to have a place for technicians to easily look for Job aids ,so technicians can have resources readily accessible in case they run in to issues or want to do additional learning ,Content Management & Display,Should Have,,High,,
F85,Keep,,Value Center Team,Front-end,Technician,"Billing content grouped by job type, product type, and type of work",To efficiently locate relevant billing information and reduce the risk of applying incorrect rules,Content Management & Display,Must Have,,High,,
F89,Eliminate,,Value Center Team,Front-end,Technician,Last updated date visible on all documentation,To ensure working with the most current information and guidelines,Content Management & Display,Must Have,,Medium,,
F91,Keep,,Value Center Team,Front-end,Technician,An easy mechanism to flag incorrect or outdated content,To help maintain the accuracy and reliability of the knowledge base,Content Management & Display,Should Have,,High,,
F105,Keep,,InfoTech,Front-end,Field Technician,I want to bookmark frequently used articles and documents,so that I can quickly reference them during future installations.,Content Management & Display,Should Have,,Low,,
F109,Eliminate,,InfoTech,Front-end,Field Technician,I want to see the last updated date on all documentation,so that I can ensure I'm following the most current procedures.,Content Management & Display,Should Have,,Low,,
F121,Keep,,CS&A Custom Home,Front-end,CS&A Manager,I want to be able to access and upload document / resources only viewable by me and my peers (managers),So that all managers can access documents without having concerns other users (i.e Technician) would see them,Content Management & Display,Could Have,Should Have,Medium,,
F122,Keep,"Duplicate F126, F127",CS&A Custom Home,Front-end,CS&A Manager,"I want (especially for products and equipments) to have a simple yet effective way to display all the data (install manual, selling tips, tech spec, offer sheets, etc...)",So that we don't loose valuable time when looking for an information to support our field members,Content Management & Display,Should Have,Must Have,High,,
F126,Eliminate,,PINE team,Front-end,The PINE Team,"I would like a device library that show pictures linked to the job aid, of the current devices a technician should be using for installations",So that technicians have easy access to job aids,Content Management & Display,Could Have,,Medium,,Medium
F127,Eliminate,,PINE team,Front-end,The PINE Team,"I would like to have a specific section dedicate to ""Products & Devices"" where a technician will be able to see the most poular / common installation scenarios",This will allow technicians to educate themselves on all things product and device related,Content Management & Display,Should Have,,Medium,,Medium
F131,Keep,,Partner team,Front-end,Content owner ,"I want to create topic specific pages of content targeted to improve KPIs (Five Star, Value Generation, Repeats, Completion) ",So that learners can easily access and managers /  trainers can easily pull content for coaching.,Content Management & Display,Could Have,,High,,
F132,Eliminate,,Partner team,Front-end,Content owner,"I want to be able to push notification of newly added content, or have a what's new section.",so that it would help with communication on relevant and updated resources by groups.,Content Management & Display,Should Have,,High,,
F145,Eliminate,,Learning Team,Front-end,Field Technician,"I want to view the latest news and announcements on new products, services, or company updates","So that I stay informed about new offerings, promotions, or any changes that might affect my work.",Content Management & Display,Should Have,,Medium,News and Announcements,
F9,Keep,,Go Team,Front-end,As a field technician,I want direct access to Hardware Business Rules through a quick link,so that I can immediately verify equipment policies and procedures during installations,Content Management & Display,Must Have,,,,
F36,Keep,,Learning Team,Front-end,Technician Manager,"I need to be able to easily send my technician the link to on-the-job support learning content from my mobile device via Google chat, email or SMS when I'm travelling and not in the office on my laptop. ",When a technician calls or pings me with a question that I don't know the answer to I can find the answer in a job aid while promoting the use of these learning resources to self-manage and problem solve.,Feedback & Communication,Must Have,Must Have,Medium,Manager coaching or field support,
F161,Eliminate,,Irene,Front-end,A site user,To see newly updated or new released content relevant to me,So that I can get the latest updates,Content Management & Display,Should Have,,,"Business rule changes, new product launches",
F53,Keep,,Learning Team,Front-end,Field Technician,I want a feedback/comments option,"So I can provide feedback to the content authors when content is outdated, potentially wrong or confusing",Feedback & Communication,Must Have,,Low,"During pre-fielding, installation, troubleshooting or value generation/value centre job tasks",
F125,Keep,,CS&A Custom Home,Front-end,CS&A Technician,"I want to have the ability to ask a question within an Article/page, or even tag someone ","So that not only myself, but other who might have the same question can see the answers and get the information right away",Feedback & Communication,Must Have,,Medium,,
F1,Keep,,Go Team,Front-end,As a field technician,I want to see a prominent search bar on the homepage,so that I can quickly find specific articles or documentation without navigating through multiple menus.,Homepage,Must Have,,High,I want to quickly search for equipment-specific troubleshooting guides so that I can efficiently resolve customer issues while on site.,
F2,Keep,,Go Team,Front-end,As a field technician,I want to see a section on the homepage featuring Today's Hot Offers,so that I can stay updated with the most best promotions,Homepage,Must Have,,High,,
F57,Eliminate,,Comms Team,Front-end,Field technician,I would like automated tagging of authors in comments section,Stakeholders/content owners can directly respond to the queries,Feedback & Communication,Could Have,,Medium,Comments and questions in news articles,
F90,Eliminate,,Value Center Team,Front-end,Technician,A feedback option on all pages,To provide input on content usefulness and suggest improvements,Feedback & Communication,Could Have,,Medium,,
F3,Keep,,Go Team,Front-end,As a field technician,I want to see a list of recent technical bulletins and policy changes including business rules updates,so that I stay current with the latest procedures.,Homepage,Must Have,,High,,
